,layer,benchmark,model,score,error
390,encoder.albert_layer_groups.11,Fedorenko2016-encoding,albert-base-v1,0.19540794650092796,0.006586802110172525
396,encoder.albert_layer_groups.4,Fedorenko2016-encoding,albert-base-v2,0.19819095505098275,0.008291707079685535
413,encoder.albert_layer_groups.8,Fedorenko2016-encoding,albert-large-v1,0.16769122500917968,0.0005711860425549548
433,encoder.albert_layer_groups.3,Fedorenko2016-encoding,albert-large-v2,0.19397140330186843,0.005720820008980546
455,encoder.albert_layer_groups.0,Fedorenko2016-encoding,albert-xlarge-v1,0.17567085466692908,0.010404628926461816
489,encoder.albert_layer_groups.9,Fedorenko2016-encoding,albert-xlarge-v2,0.17446630855709058,0.007112798077175931
509,encoder.albert_layer_groups.4,Fedorenko2016-encoding,albert-xxlarge-v1,0.26875933002294056,0.009504707219101922
521,encoder.albert_layer_groups.3,Fedorenko2016-encoding,albert-xxlarge-v2,0.2619340971473392,0.01618781815516057
26,encoder.layer.7.output,Fedorenko2016-encoding,bert-base-multilingual-cased,0.15700891251108032,0.006729443541355643
14,encoder.layer.8.output,Fedorenko2016-encoding,bert-base-uncased,0.22346737811957196,0.010677970146680406
51,encoder.layer.19.output,Fedorenko2016-encoding,bert-large-uncased,0.20311848228091897,0.006471921852466078
80,encoder.layer.23.output,Fedorenko2016-encoding,bert-large-uncased-whole-word-masking,0.19490125793839586,0.014561247492612703
87,transformer.layer.5,Fedorenko2016-encoding,distilbert-base-uncased,0.25968427440882164,0.014118996409222321
138,encoder.h.4,Fedorenko2016-encoding,distilgpt2,0.18501756321211069,0.00887458001866223
93,encoder.layer.4,Fedorenko2016-encoding,distilroberta-base,0.15121096360233094,0.007727468215406017
2,projection,Fedorenko2016-encoding,glove,0.1103612911141712,0.010828385467324769
149,encoder.h.8,Fedorenko2016-encoding,gpt2,0.20653252431185742,0.004881860701185905
206,encoder.h.27,Fedorenko2016-encoding,gpt2-large,0.23955137530729398,0.013670914226176584
173,encoder.h.19,Fedorenko2016-encoding,gpt2-medium,0.22588840279088676,0.008516578434372256
246,encoder.h.30,Fedorenko2016-encoding,gpt2-xl,0.2412769894212344,0.01209906763605471
4,lstm/lstm_1/control_dependency,Fedorenko2016-encoding,lm_1b,0.18680433578641165,0.008672962780044055
106,encoder.layer.10,Fedorenko2016-encoding,roberta-base,0.18147970700909424,0.020080738607094622
118,encoder.layer.9,Fedorenko2016-encoding,roberta-large,0.17768128659357674,0.004510706923809724
1,encoder,Fedorenko2016-encoding,skip-thoughts,0.22932236539544384,0.010501732901361572
614,encoder.block.13,Fedorenko2016-encoding,t5-11b,0.14932899031327773,0.0033754681397825713
592,encoder.block.16,Fedorenko2016-encoding,t5-3b,0.1909618428675878,0.003210229187880227
546,encoder.block.8,Fedorenko2016-encoding,t5-base,0.192105511454759,0.00654415588475973
570,encoder.block.19,Fedorenko2016-encoding,t5-large,0.19138550164611798,0.006152740807775248
534,encoder.block.3,Fedorenko2016-encoding,t5-small,0.17288953508576668,0.01174576271954611
282,encoder.layers.17,Fedorenko2016-encoding,transfo-xl-wt103,0.20716205336690882,0.007090862613656054
0,projection,Fedorenko2016-encoding,word2vec,0.07561947973651532,0.002026189498962155
360,encoder.layer_norm2.5,Fedorenko2016-encoding,xlm-clm-enfr-1024,0.21835897855435626,0.010742121452700216
376,encoder.layer_norm2.14,Fedorenko2016-encoding,xlm-mlm-100-1280,0.16958758725487644,0.01664128840580928
324,encoder.layer_norm2.2,Fedorenko2016-encoding,xlm-mlm-en-2048,0.22298991013384015,0.001256851616042765
337,encoder.layer_norm2.2,Fedorenko2016-encoding,xlm-mlm-enfr-1024,0.2243185216074237,0.0034446920830658438
350,encoder.layer_norm2.8,Fedorenko2016-encoding,xlm-mlm-xnli15-1024,0.23649775809884013,0.012438657228644998
628,encoder.layer.2,Fedorenko2016-encoding,xlm-roberta-base,0.134680701584653,0.007600504495545905
662,encoder.layer.23,Fedorenko2016-encoding,xlm-roberta-large,0.146494581818371,0.02534356730933683
290,encoder.layer.6,Fedorenko2016-encoding,xlnet-base-cased,0.18258196903951782,0.008226984958954036
309,encoder.layer.12,Fedorenko2016-encoding,xlnet-large-cased,0.22537695240131725,0.008365124691642665
