word,zone,item,meanItemRT
If,1,1,369.0119048
you,2,1,368.183908
were,3,1,344.3181818
to,4,1,354.6395349
journey,5,1,349.6741573
to,6,1,376.3707865
the,7,1,327.3103448
North,8,1,365.494382
of,9,1,344.9310345
"England,",10,1,400.2696629
you,11,1,372.5909091
would,12,1,350.3793103
come,13,1,319.0804598
to,14,1,355.9310345
a,15,1,343.8588235
valley,16,1,330.7325581
that,17,1,346.7790698
is,18,1,360.2873563
surrounded,19,1,337.0465116
by,20,1,359.3647059
moors,21,1,395.4302326
as,22,1,414.5977011
high,23,1,390.9534884
as,24,1,434.0361446
mountains.,25,1,457.3452381
It,26,1,399.9285714
is,27,1,325.2470588
in,28,1,318.2674419
this,29,1,341.2235294
valley,30,1,375.8
where,31,1,363.1294118
you,32,1,365.4367816
would,33,1,323.5581395
find,34,1,305.3294118
the,35,1,355.8571429
city,36,1,320.2988506
of,37,1,418.4367816
"Bradford,",38,1,440.5764706
where,39,1,377.3095238
once,40,1,353.954023
a,41,1,397.4137931
thousand,42,1,455.1395349
spinning,43,1,459.0238095
jennies,44,1,539.3176471
that,45,1,538.5348837
hummed,46,1,432.3139535
and,47,1,407.4069767
clattered,48,1,414.8117647
spun,49,1,453.9647059
wool,50,1,426.872093
into,51,1,392.5595238
money,52,1,384.2068966
for,53,1,385.4712644
the,54,1,462.6470588
long-bearded,55,1,441.1976744
mill,56,1,476.8690476
owners.,57,1,480.5862069
That,58,1,415.6896552
all,59,1,439.0114943
mill,60,1,429.5287356
owners,61,1,381.5287356
were,62,1,387.1976744
generally,63,1,378.5402299
busy,64,1,369.5119048
as,65,1,388.7209302
beavers,66,1,359.7906977
and,67,1,362.5057471
quite,68,1,385.7356322
pleased,69,1,343.9302326
with,70,1,370.3793103
themselves,71,1,371.4705882
for,72,1,349.0581395
being,73,1,339.4651163
so,74,1,345.9647059
successful,75,1,380.4767442
and,76,1,362.9529412
well,77,1,361.2738095
off,78,1,357.091954
was,79,1,353.4137931
known,80,1,357.0232558
to,81,1,344.4534884
the,82,1,381.8023256
residents,83,1,365.5
of,84,1,388.9651163
"Bradford,",85,1,399.6117647
and,86,1,367.6309524
if,87,1,328.6860465
you,88,1,329.862069
were,89,1,331.6046512
to,90,1,315.4186047
go,91,1,344.7931034
into,92,1,332.2823529
the,93,1,326.1294118
city,94,1,319.5833333
to,95,1,319.0813953
visit,96,1,330.9186047
the,97,1,370.7325581
stately,98,1,393.6976744
City,99,1,385.627907
"Hall,",100,1,395.3908046
you,101,1,334.3678161
would,102,1,327.7931034
see,103,1,333.4418605
there,104,1,341.1162791
the,105,1,391.2298851
Crest,106,1,381.244186
of,107,1,333.6385542
the,108,1,341.7142857
City,109,1,353.9534884
of,110,1,357.9176471
"Bradford,",111,1,387.5882353
which,112,1,374.1529412
those,113,1,356.6352941
same,114,1,394.091954
mill,115,1,350.5
owners,116,1,380.0581395
created,117,1,360.8372093
to,118,1,371.5294118
